"NIH Print Exchange (n=217), Printables (n=340), Thingiverse (n=754)"	Design Name
https://3dprint.nih.gov/discover/3dpx-000117	Microscope dish adapter
https://3dprint.nih.gov/discover/3dpx-000119	Eptube holder
https://3dprint.nih.gov/discover/3dpx-000121	Minishaker adapter
https://3dprint.nih.gov/discover/3dpx-000122	Flowchamber
https://3dprint.nih.gov/discover/3dpx-000125	Agarosegelcomb-14wells
https://3dprint.nih.gov/discover/3dpx-000127	96 well plate adaptor
https://3dprint.nih.gov/discover/3dpx-000131	Bottle Holders
https://3dprint.nih.gov/discover/3dpx-000303	96 Microwell Plate
https://3dprint.nih.gov/discover/3dpx-000304	A Fully Printable Microscope
https://3dprint.nih.gov/discover/3dpx-000310	Flask Tilt
https://3dprint.nih.gov/discover/3dpx-000367	Pipette Tip Transfer Tool
https://3dprint.nih.gov/discover/3dpx-000429	15-Well Vial Holder
https://3dprint.nih.gov/discover/3dpx-000430	96-Well Paper Microzone Plate Holder
https://3dprint.nih.gov/discover/3dpx-000490	Tube Rack
https://3dprint.nih.gov/discover/3dpx-000491	iPhone microscope adapter
https://3dprint.nih.gov/discover/3dpx-000492	Nikon Stage Insert
https://3dprint.nih.gov/discover/3dpx-000493	pH electrode holder
https://3dprint.nih.gov/discover/3dpx-000494	SDS-PAGE 0.75mm gel comb
https://3dprint.nih.gov/discover/3dpx-000505	Gel Cracker
https://3dprint.nih.gov/discover/3dpx-000550	Universal Portrait/Landscape Tecan EVO One-Place MTP Carrier
https://3dprint.nih.gov/discover/3dpx-000606	Micromanipulator
https://3dprint.nih.gov/discover/3dpx-000607	Biropette: 3D printable micropipette
https://3dprint.nih.gov/discover/3dpx-000608	PhoneScope
https://3dprint.nih.gov/discover/3dpx-000609	Raspberry Pi Scope
https://3dprint.nih.gov/discover/3dpx-000684	Orbital Shaker
https://3dprint.nih.gov/discover/3dpx-000703	PCR tube rack
https://3dprint.nih.gov/discover/3dpx-000729	DNA model with support
https://3dprint.nih.gov/discover/3dpx-000735	96-well connected grid PDMS mold (384 well type)
https://3dprint.nih.gov/discover/3dpx-000746	Parametric Microscope Slide Holder
https://3dprint.nih.gov/discover/3dpx-000768	3D Bot
https://3dprint.nih.gov/discover/3dpx-000769	Vortex Mixer
https://3dprint.nih.gov/discover/3dpx-000774	Open Source Fluoroscope
https://3dprint.nih.gov/discover/3dpx-000776	Modular Test Tube Rack
https://3dprint.nih.gov/discover/3dpx-000851	Rectangular tube holder with tight-fitting lid for environmental isolation
https://3dprint.nih.gov/discover/3dpx-000889	The BYB Maniplulator
https://3dprint.nih.gov/discover/3dpx-001082	Circular & rectangular hole calibration piece (sub mm)
https://3dprint.nih.gov/discover/3dpx-001228	Lid and comb portion of casting mold for horizontal PAGE
https://3dprint.nih.gov/discover/3dpx-001229	Tray portion of casting mold for horizontal PAGE
https://3dprint.nih.gov/discover/3dpx-001230	coverslip spinner holder
https://3dprint.nih.gov/discover/3dpx-001318	Gel Combs (1.5mm Mini Gels)
https://3dprint.nih.gov/discover/3dpx-001488	50ml tube holder
https://3dprint.nih.gov/discover/3dpx-001726	75mm Glass Slide and 35mm Culture dish Leica Microscope Insert
https://3dprint.nih.gov/discover/3dpx-001748	6-Tube homogenizer attachment for reciprocating motor
https://3dprint.nih.gov/discover/3dpx-001868	PoliScience water bath tray
https://3dprint.nih.gov/discover/3dpx-002032	Petri Dish
https://3dprint.nih.gov/discover/3dpx-002039	Frame for 12 channel Corning disposable Reservoir Liner
https://3dprint.nih.gov/discover/3dpx-002072	centrifuge cartridge holder
https://3dprint.nih.gov/discover/3dpx-002079	one handed lid opener
https://3dprint.nih.gov/discover/3dpx-002082	tube carousel
https://3dprint.nih.gov/discover/3dpx-002084	Grab Tool
https://3dprint.nih.gov/discover/3dpx-002093	Customizable Perforated Cylindrical Plate
https://3dprint.nih.gov/discover/3dpx-002094	Customizable Square Array of Cylinders
https://3dprint.nih.gov/discover/3dpx-002095	Customizable Chopper Wheel
https://3dprint.nih.gov/discover/3dpx-002096	Mobile Phone Attachment for Assessment of Capillary Refill Time
https://3dprint.nih.gov/discover/3dpx-002102	Replistruder Syringe-Based Extruder
https://3dprint.nih.gov/discover/3dpx-002103	Square Filter Holder for Open-source Optics
https://3dprint.nih.gov/discover/3dpx-002112	Parametric open-source chopper wheel
https://3dprint.nih.gov/discover/3dpx-002130	The SpecPhone: A 3D-Printable Smartphone Spectrophotometer
https://3dprint.nih.gov/discover/3dpx-002131	Open-source mirror holder
https://3dprint.nih.gov/discover/3dpx-002133	Open-source lens holder
https://3dprint.nih.gov/discover/3dpx-002142	Laboratory Electric Stirrer
https://3dprint.nih.gov/discover/3dpx-002144	Customizable array of cylinders
https://3dprint.nih.gov/discover/3dpx-002164	Insulated test-tube carrier
https://3dprint.nih.gov/discover/3dpx-002166	3-point clamp
https://3dprint.nih.gov/discover/3dpx-002168	Sample Rotator Components
https://3dprint.nih.gov/discover/3dpx-002171	Modular PC104 Case
https://3dprint.nih.gov/discover/3dpx-002195	96 well plate holder
https://3dprint.nih.gov/discover/3dpx-002332	Insulated test tube container
https://3dprint.nih.gov/discover/3dpx-002349	Sample Rotator / Mixer
https://3dprint.nih.gov/discover/3dpx-002413	Rockefeller University BD FACSAria2-3 Water-Cooled Sort Collection Integrated Tube Holder 50-5-5
https://3dprint.nih.gov/discover/3dpx-002415	Rockefeller University BD FACSAria2-3 Water-Cooled Sort Collection Integrated Tube Holder 5-15-5-5
https://3dprint.nih.gov/discover/3dpx-002522	Screw Titration Blocks for Swivel Cap 2.0 and Microdrives
https://3dprint.nih.gov/discover/3dpx-002650	Graduated mold for US gel
https://3dprint.nih.gov/discover/3dpx-002873	analytical ultracentrifugation double sector centerpiece
https://3dprint.nih.gov/discover/3dpx-003182	Laboratory Sample Rotator
https://3dprint.nih.gov/discover/3dpx-003287	Laboratory Sample Rotator
https://3dprint.nih.gov/discover/3dpx-003288	Laboratory Sample Rotator and Shaker with onboard Microcontroller
https://3dprint.nih.gov/discover/3dpx-003400	Rockefeller University BD FACSAria2-3 Water-Cooled Sort Collection Integrated Tube Holder 50-50
